,id,Trades,Profit Trades,Loss Trades,Best trade,Worst trade,Gross Profit,Gross Loss,Maximum consecutive wins,Maximal consecutive profit,Sharpe Ratio,Trading activity,Max deposit load,Latest trade,Trades per week,Avg holding time,Recovery Factor,Long Trades,Short Trades,Profit Factor,Expected Payoff,Average Profit,Average Loss,Maximum consecutive losses,Maximal consecutive loss,Monthly growth,Annual Forecast,Algo trading,Absolute,Maximal,By Balance,By Equity
0,1655738,29,24 (82.75%),5 (17.24%),211.56 USD,-77.52 USD,"894.29 USD
 (11 871 pips)","-260.24 USD
 (3 705 pips)",11 (140.24 USD),429.58 USD (4),0.42,70.33%,5.63%,2 hours ago,17.0,13 hours,5.88,6 (20.69%),23 (79.31%),3.44,21.86 USD,37.26 USD,-52.05 USD,2 (-105.10 USD),-105.10 USD (2),21.42%,,0%,40.60 USD,107.86 USD (2.81%),3.32% (105.70 USD),16.17% (497.47 USD)
0,1578812,272,169 (62.13%),103 (37.87%),58.72 USD,-93.41 USD,"2 277.06 USD
 (34 786 pips)","-2 758.54 USD
 (61 137 pips)",32 (357.09 USD),497.44 USD (19),-0.13,27.03%,19.85%,2 hours ago,73.0,12 hours,-0.24,164 (60.29%),108 (39.71%),0.83,-1.77 USD,13.47 USD,-26.78 USD,63 (-2 016.23 USD),-2 016.23 USD (63),-38.86%,,100%,493.03 USD,2 016.23 USD (79.75%),44.53% (2 016.23 USD),43.09% (1 951.34 USD)
0,1658738,23,16 (69.56%),7 (30.43%),68.81 USD,-20.27 USD,"118.42 USD
 (1 631 pips)","-71.90 USD
 (3 109 pips)",9 (98.18 USD),98.18 USD (9),0.12,60.11%,28.83%,3 hours ago,23.0,6 hours,0.66,11 (47.83%),12 (52.17%),1.65,2.02 USD,7.40 USD,-10.27 USD,5 (-70.22 USD),-70.22 USD (5),9.30%,,100%,66.11 USD,70.22 USD (13.93%),13.93% (70.22 USD),48.76% (245.79 USD)
0,1654707,1 899,1 422 (74.88%),477 (25.12%),29.22 USD,-16.18 USD,"974.63 USD
 (20 435 698 pips)","-685.10 USD
 (2 016 888 pips)",46 (6.30 USD),79.78 USD (9),0.08,85.63%,0.61%,2 hours ago,291.0,56 minutes,4.61,1 270 (66.88%),629 (33.12%),1.42,0.15 USD,0.69 USD,-1.44 USD,10 (-13.23 USD),-62.82 USD (8),32.36%,,94%,0.00 USD,62.82 USD (5.02%),5.99% (62.82 USD),19.56% (200.15 USD)
0,1655884,248,167 (67.33%),81 (32.66%),47.36 USD,-31.41 USD,"609.53 USD
 (15 012 pips)","-414.59 USD
 (20 318 pips)",24 (16.97 USD),94.08 USD (2),0.1,99.24%,149.03%,2 minutes ago,158.0,7 hours,2.57,125 (50.40%),123 (49.60%),1.47,0.79 USD,3.65 USD,-5.12 USD,8 (-62.64 USD),-62.64 USD (8),21.86%,,97%,0.00 USD,75.75 USD (8.56%),6.98% (75.75 USD),53.46% (591.84 USD)
0,1594161,162,162 (100.00%),0 (0.00%),4.68 GBP,0.00 GBP,"110.93 GBP
 (15 171 pips)",-5.01 GBP,162 (110.93 GBP),110.93 GBP (162),1.06,66.43%,1.20%,12 hours ago,50.0,12 hours,706.13,102 (62.96%),60 (37.04%),22.14,0.68 GBP,0.68 GBP,0.00 GBP,0 (0.00 GBP),0.00 GBP (0),7.05%,,0%,0.06 GBP,0.15 GBP (0.01%),0.01% (0.06 GBP),3.61% (39.86 GBP)
0,1662008,37,33 (89.18%),4 (10.81%),5.96 SGD,-6.74 SGD,"41.27 SGD
 (1 443 pips)","-21.62 SGD
 (484 pips)",13 (15.55 SGD),15.55 SGD (13),0.27,18.84%,3.52%,1 hour ago,25.0,1 hour,1.64,24 (64.86%),13 (35.14%),1.91,0.53 SGD,1.25 SGD,-5.41 SGD,1 (-6.74 SGD),-6.74 SGD (1),10.92%,,97%,9.32 SGD,11.98 SGD (6.56%),6.49% (11.86 SGD),2.27% (4.41 SGD)
0,1400651,151,151 (100.00%),0 (0.00%),47.79 USD,0.00 USD,"1 079.47 USD
 (58 574 pips)",-15.96 USD,151 (1 079.47 USD),1 079.47 USD (151),1.02,100.00%,21.25%,16 hours ago,24.0,2 days,1802.56,90 (59.60%),61 (40.40%),67.64,7.15 USD,7.15 USD,0.00 USD,0 (0.00 USD),0.00 USD (0),3.22%,39.08%,0%,0.11 USD,0.59 USD (0.01%),0.00% (0.15 USD),30.60% (2 106.32 USD)
0,1461144,312,239 (76.60%),73 (23.40%),242.40 USD,-165.90 USD,"4 661.77 USD
 (80 421 pips)","-1 688.73 USD
 (25 622 pips)",21 (334.85 USD),655.30 USD (5),0.26,72.94%,27.97%,15 days ago,0.0,2 days,12.86,94 (30.13%),218 (69.87%),2.76,9.53 USD,19.51 USD,-23.13 USD,6 (-142.95 USD),-207.00 USD (4),0.34%,4.09%,0%,50.35 USD,231.20 USD (10.01%),10.03% (231.20 USD),40.39% (999.81 USD)
0,1450544,1 278,953 (74.56%),325 (25.43%),49.56 USD,-116.32 USD,"2 861.13 USD
 (127 069 pips)","-1 895.05 USD
 (59 455 pips)",26 (29.95 USD),302.12 USD (11),0.11,60.62%,65.29%,1 hour ago,22.0,14 hours,2.85,445 (34.82%),833 (65.18%),1.51,0.76 USD,3.00 USD,-5.83 USD,5 (-336.48 USD),-336.48 USD (5),14.07%,170.68%,99%,34.33 USD,338.72 USD (39.23%),45.15% (337.74 USD),68.32% (313.44 USD)
